fid,chars,items,per1k,diag,sym,drug,labn,labr,neg,hist,nested,wide,bad_icd,bad_rx,long,risk
1,2942,10,3.4,0,9,1,0,0,2,0,0,0,0,0,0,ok
2,593,5,8.4,5,0,0,0,0,0,1,0,0,0,0,0,ok
3,4428,16,3.6,1,13,0,2,0,4,0,0,0,0,0,0,ok
4,2246,16,7.1,2,14,0,0,0,2,0,0,0,0,0,0,ok
5,1420,34,23.9,8,10,3,7,6,6,4,0,0,0,0,0,ok
6,584,2,3.4,2,0,0,0,0,0,1,0,0,0,0,0,ok
7,2308,4,1.7,0,4,0,0,0,0,0,0,0,0,0,0,under_extract;very_sparse
8,964,7,7.3,6,1,0,0,0,0,1,0,0,0,0,0,ok
9,1069,20,18.7,4,4,1,4,7,1,2,0,0,0,0,0,ok
10,784,3,3.8,0,3,0,0,0,0,0,0,0,0,0,0,ok
11,514,2,3.9,2,0,0,0,0,0,2,0,1,0,0,0,wide_candidates
12,1210,15,12.4,2,12,0,1,0,2,0,0,0,0,0,0,ok
13,2572,33,12.8,11,14,8,0,0,0,5,0,0,0,0,0,ok
14,798,8,10.0,0,8,0,0,0,1,0,0,0,0,0,0,ok
15,281,2,7.1,2,0,0,0,0,0,0,0,0,0,0,0,ok
16,2286,54,23.6,17,30,0,3,4,9,6,0,0,0,0,0,ok
17,1983,8,4.0,0,7,0,1,0,1,0,0,0,0,0,0,ok
18,833,3,3.6,0,3,0,0,0,0,0,0,0,0,0,0,under_extract
19,1216,19,15.6,6,10,3,0,0,4,9,0,0,0,0,0,ok
20,3007,59,19.6,36,9,2,9,3,3,9,1,0,0,0,0,ok
21,520,1,1.9,1,0,0,0,0,0,0,0,0,0,0,0,very_sparse
22,379,1,2.6,0,0,1,0,0,0,0,0,0,0,0,0,very_sparse
23,2878,5,1.7,0,5,0,0,0,2,0,0,0,0,0,0,very_sparse
24,1361,4,2.9,0,4,0,0,0,2,0,0,0,0,0,0,under_extract;very_sparse
25,440,2,4.5,2,0,0,0,0,0,1,0,0,0,0,0,ok
26,378,1,2.6,1,0,0,0,0,0,1,0,1,0,0,0,very_sparse;wide_candidates
27,1368,12,8.8,3,9,0,0,0,7,2,0,0,0,0,0,ok
28,2422,13,5.4,0,13,0,0,0,2,0,0,0,0,0,0,ok
29,373,4,10.7,2,2,0,0,0,2,0,0,0,0,0,0,ok
